"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\A\Desktop\TankWar\Component\navigationComponent_class.py", "Python", -1, 0, 0, -1
"c:\Users\A\Desktop\TankWar\renderer_class.py", "Python", 11, 13, 10, 34
"c:\Users\A\Desktop\TankWar\test.py", "Python", -33, 1, -7, -39
"c:\Users\A\Desktop\TankWar\texture_class.py", "Python", 4, 0, -6, -2
"Total", "-", -19, 14, -3, -8
